iter	Passed	Remaining
0	54	54350
1	55	27487
2	55	18511
3	56	14029
4	57	11347
5	57	9557
6	58	8267
7	58	7304
8	59	6552
9	60	5946
10	60	5456
11	61	5052
12	61	4706
13	62	4413
14	63	4157
15	63	3932
16	64	3735
17	65	3559
18	65	3404
19	66	3263
20	67	3134
21	67	3017
22	68	2910
23	69	2810
24	69	2718
25	70	2633
26	70	2555
27	71	2496
28	72	2443
29	73	2383
30	74	2325
31	75	2272
32	75	2220
33	76	2175
34	77	2129
35	77	2083
36	78	2040
37	79	2000
38	79	1963
39	80	1925
40	80	1890
41	81	1857
42	81	1824
43	82	1794
44	83	1764
45	83	1739
46	84	1714
47	85	1692
48	85	1668
49	86	1644
50	87	1621
51	87	1599
52	88	1577
53	88	1556
54	89	1536
55	90	1517
56	90	1498
57	91	1481
58	91	1464
59	92	1447
60	92	1431
61	93	1415
62	94	1399
63	94	1383
64	95	1368
65	95	1353
66	96	1339
67	96	1321
68	96	1307
69	97	1295
70	98	1282
71	98	1269
72	99	1258
73	99	1247
74	100	1235
75	100	1224
76	101	1214
77	101	1203
78	102	1193
79	102	1182
80	103	1172
81	103	1163
82	104	1154
83	105	1145
84	105	1135
85	106	1126
86	106	1115
87	106	1107
88	107	1099
89	108	1092
90	108	1084
91	109	1077
92	109	1071
93	110	1066
94	111	1062
95	112	1057
96	113	1057
97	114	1051
98	114	1044
99	115	1039
100	116	1038
101	116	1029
102	117	1023
103	118	1018
104	118	1011
105	119	1005
106	119	1000
107	120	994
108	120	989
109	121	983
110	122	977
111	122	972
112	123	967
113	123	962
114	124	956
115	124	950
116	125	945
117	125	940
118	126	934
119	126	929
120	127	924
121	127	919
122	128	912
123	128	908
124	129	903
125	129	899
126	130	895
127	130	889
128	131	885
129	131	880
130	132	876
131	132	872
132	133	868
133	133	864
134	134	860
135	134	856
136	135	852
137	135	847
138	136	843
139	136	839
140	137	836
141	137	832
142	138	828
143	138	824
144	139	821
145	139	817
146	140	813
147	140	810
148	141	806
149	141	803
150	142	800
151	142	796
152	143	793
153	143	789
154	144	786
155	144	783
156	145	780
157	145	777
158	146	773
159	146	771
160	147	768
161	147	764
162	148	762
163	148	759
164	149	756
165	149	753
166	150	750
167	150	747
168	151	745
169	152	742
170	152	739
171	153	736
172	153	734
173	154	731
174	154	728
175	155	726
176	155	723
177	156	720
178	156	718
179	157	715
180	157	712
181	157	709
182	158	707
183	158	704
184	159	702
185	159	700
186	160	697
187	161	695
188	161	694
189	162	692
190	162	689
191	163	686
192	163	684
193	164	681
194	164	678
195	164	676
196	165	673
197	165	670
198	166	668
199	166	665
200	166	663
201	167	660
202	167	658
203	168	655
204	168	653
205	168	650
206	169	648
207	169	645
208	170	643
209	170	641
210	170	638
211	171	636
212	171	634
213	172	631
214	172	629
215	172	627
216	173	625
217	173	622
218	173	620
219	174	618
220	174	616
221	175	614
222	175	611
223	176	609
224	176	607
225	176	605
226	177	603
227	177	601
228	177	599
229	178	597
230	178	595
231	179	593
232	179	591
233	179	589
234	180	587
235	180	585
236	181	583
237	181	581
238	181	579
239	182	577
240	182	575
241	183	573
242	183	571
243	183	569
244	184	568
245	184	566
246	185	564
247	185	562
248	185	560
249	186	558
250	186	557
251	187	555
252	187	553
253	187	551
254	188	549
255	188	548
256	189	546
257	189	544
258	189	543
259	190	541
260	190	539
261	191	538
262	191	536
263	191	534
264	192	533
265	192	531
266	193	529
267	193	528
268	193	526
269	194	525
270	194	523
271	194	521
272	195	520
273	195	518
274	196	517
275	196	515
276	197	514
277	197	513
278	198	512
279	198	510
280	199	509
281	199	507
282	199	506
283	200	504
284	200	503
285	201	501
286	201	500
287	201	499
288	202	497
289	202	496
290	203	494
291	203	493
292	203	491
293	204	490
294	204	489
295	205	487
296	205	486
297	205	485
298	206	483
299	206	482
300	207	481
301	207	479
302	207	478
303	208	476
304	208	475
305	209	474
306	209	472
307	209	471
308	210	470
309	210	468
310	211	467
311	211	466
312	211	465
313	212	463
314	212	462
315	213	461
316	213	460
317	213	458
318	214	457
319	214	456
320	215	455
321	215	453
322	215	452
323	216	451
324	216	450
325	217	449
326	217	447
327	218	446
328	218	445
329	218	444
330	219	443
331	219	441
332	219	440
333	220	439
334	220	438
335	221	437
336	221	435
337	221	434
338	222	433
339	222	432
340	223	431
341	223	430
342	223	428
343	224	427
344	224	426
345	225	425
346	225	424
347	226	423
348	226	422
349	226	421
350	227	420
351	227	419
352	228	417
353	228	416
354	228	415
355	229	414
356	229	413
357	230	412
358	230	411
359	230	410
360	231	409
361	231	408
362	232	407
363	232	406
364	232	405
365	233	404
366	233	403
367	234	402
368	234	401
369	234	399
370	235	398
371	235	397
372	236	396
373	236	395
374	236	394
375	237	393
376	237	392
377	238	391
378	238	390
379	238	389
380	239	388
381	239	387
382	240	386
383	240	385
384	240	384
385	241	383
386	241	382
387	242	381
388	242	380
389	243	380
390	243	379
391	243	378
392	244	377
393	244	376
394	245	375
395	245	374
396	245	373
397	246	372
398	246	371
399	247	370
400	247	369
401	248	368
402	248	368
403	248	367
404	249	366
405	249	365
406	250	364
407	250	363
408	250	362
409	251	361
410	251	360
411	252	359
412	252	359
413	252	358
414	253	357
415	253	356
416	254	355
417	254	354
418	255	353
419	255	352
420	255	351
421	256	350
422	256	350
423	257	349
424	257	348
425	257	347
426	258	346
427	258	345
428	259	344
429	259	344
430	259	343
431	260	342
432	260	341
433	261	340
434	261	339
435	261	338
436	262	338
437	262	337
438	263	336
439	263	335
440	264	334
441	264	333
442	264	333
443	265	332
444	265	331
445	266	330
446	266	329
447	266	328
448	267	327
449	267	327
450	268	326
451	268	325
452	268	324
453	269	323
454	269	322
455	270	322
456	270	321
457	270	320
458	271	319
459	271	318
460	271	318
461	272	317
462	272	316
463	273	315
464	273	314
465	273	313
466	274	313
467	274	312
468	275	311
469	275	310
470	275	309
471	276	309
472	276	308
473	277	307
474	277	306
475	277	305
476	278	305
477	278	304
478	279	303
479	279	302
480	279	302
481	280	301
482	280	300
483	281	299
484	281	298
485	281	298
486	282	297
487	282	296
488	283	295
489	283	295
490	283	294
491	284	293
492	284	292
493	285	292
494	285	291
495	285	290
496	286	289
497	286	289
498	287	288
499	287	287
500	288	286
501	288	286
502	288	285
503	289	284
504	289	283
505	290	283
506	290	282
507	290	281
508	291	280
509	291	280
510	291	279
511	292	278
512	292	278
513	293	277
514	293	276
515	294	275
516	294	275
517	294	274
518	295	273
519	295	272
520	296	272
521	296	271
522	296	270
523	297	270
524	297	269
525	298	268
526	298	267
527	298	267
528	299	266
529	299	265
530	300	265
531	300	264
532	301	263
533	301	263
534	301	262
535	302	261
536	302	260
537	302	260
538	303	259
539	303	258
540	304	258
541	304	257
542	304	256
543	305	255
544	305	255
545	306	254
546	306	253
547	307	253
548	307	252
549	308	252
550	308	251
551	309	250
552	309	250
553	310	249
554	310	248
555	310	248
556	311	247
557	311	246
558	312	246
559	312	245
560	312	244
561	313	244
562	313	243
563	314	242
564	314	242
565	314	241
566	315	240
567	315	240
568	315	239
569	316	238
570	316	237
571	317	237
572	317	236
573	317	235
574	318	235
575	318	234
576	319	234
577	319	233
578	320	232
579	320	232
580	320	231
581	321	230
582	321	230
583	321	229
584	322	228
585	322	228
586	323	227
587	323	226
588	323	226
589	324	225
590	324	224
591	325	224
592	325	223
593	326	222
594	326	222
595	326	221
596	327	220
597	327	220
598	327	219
599	328	218
600	328	218
601	329	217
602	329	216
603	329	216
604	330	215
605	330	215
606	331	214
607	331	213
608	331	213
609	332	212
610	332	211
611	333	211
612	333	210
613	333	209
614	334	209
615	334	208
616	335	207
617	335	207
618	335	206
619	336	206
620	336	205
621	337	204
622	337	204
623	337	203
624	338	202
625	338	202
626	339	201
627	339	201
628	339	200
629	340	199
630	340	199
631	341	198
632	341	197
633	341	197
634	342	196
635	342	196
636	343	195
637	343	194
638	343	194
639	344	193
640	344	193
641	345	192
642	345	191
643	345	191
644	346	190
645	346	189
646	347	189
647	347	188
648	347	188
649	348	187
650	348	186
651	349	186
652	349	185
653	349	185
654	350	184
655	350	183
656	351	183
657	351	182
658	351	182
659	352	181
660	352	180
661	353	180
662	353	179
663	353	179
664	354	178
665	354	177
666	355	177
667	355	176
668	355	176
669	356	175
670	356	174
671	357	174
672	357	173
673	357	173
674	358	172
675	358	171
676	359	171
677	359	170
678	359	170
679	360	169
680	360	168
681	361	168
682	361	167
683	362	167
684	362	166
685	362	166
686	363	165
687	363	164
688	364	164
689	364	163
690	364	163
691	365	162
692	365	161
693	366	161
694	366	160
695	366	160
696	367	159
697	367	159
698	368	158
699	368	157
700	368	157
701	369	156
702	369	156
703	370	155
704	370	155
705	370	154
706	371	153
707	371	153
708	371	152
709	372	152
710	372	151
711	373	150
712	373	150
713	373	149
714	374	149
715	374	148
716	375	148
717	375	147
718	375	146
719	376	146
720	376	145
721	377	145
722	377	144
723	377	144
724	378	143
725	378	142
726	379	142
727	379	141
728	379	141
729	380	140
730	380	140
731	381	139
732	381	139
733	382	138
734	382	137
735	382	137
736	383	136
737	383	136
738	384	135
739	384	135
740	384	134
741	385	133
742	385	133
743	386	132
744	386	132
745	386	131
746	387	131
747	387	130
748	388	130
749	388	129
750	388	128
751	389	128
752	389	127
753	390	127
754	390	126
755	390	126
756	391	125
757	391	125
758	392	124
759	392	123
760	392	123
761	393	122
762	393	122
763	394	121
764	394	121
765	394	120
766	395	120
767	395	119
768	396	118
769	396	118
770	396	117
771	397	117
772	397	116
773	398	116
774	398	115
775	398	115
776	399	114
777	399	114
778	400	113
779	400	112
780	400	112
781	401	111
782	401	111
783	402	110
784	402	110
785	402	109
786	403	109
787	403	108
788	404	108
789	404	107
790	405	107
791	405	106
792	405	105
793	406	105
794	406	104
795	406	104
796	407	103
797	407	103
798	408	102
799	408	102
800	408	101
801	409	101
802	409	100
803	410	99
804	410	99
805	410	98
806	411	98
807	411	97
808	412	97
809	412	96
810	413	96
811	413	95
812	413	95
813	414	94
814	414	94
815	414	93
816	415	93
817	415	92
818	416	91
819	416	91
820	416	90
821	417	90
822	417	89
823	417	89
824	418	88
825	418	88
826	419	87
827	419	87
828	419	86
829	420	86
830	420	85
831	421	85
832	421	84
833	421	83
834	422	83
835	422	82
836	423	82
837	423	81
838	423	81
839	424	80
840	424	80
841	425	79
842	425	79
843	425	78
844	426	78
845	426	77
846	427	77
847	427	76
848	427	76
849	428	75
850	428	75
851	429	74
852	429	74
853	429	73
854	430	72
855	430	72
856	431	71
857	431	71
858	431	70
859	432	70
860	432	69
861	433	69
862	433	68
863	433	68
864	434	67
865	434	67
866	435	66
867	435	66
868	435	65
869	436	65
870	436	64
871	437	64
872	437	63
873	437	63
874	438	62
875	439	62
876	439	61
877	439	61
878	440	60
879	440	60
880	441	59
881	441	59
882	441	58
883	442	58
884	442	57
885	443	57
886	443	56
887	443	55
888	444	55
889	444	54
890	445	54
891	445	53
892	445	53
893	446	52
894	446	52
895	447	51
896	447	51
897	447	50
898	448	50
899	448	49
900	449	49
901	449	48
902	449	48
903	450	47
904	450	47
905	451	46
906	451	46
907	451	45
908	452	45
909	452	44
910	453	44
911	453	43
912	453	43
913	454	42
914	454	42
915	455	41
916	455	41
917	455	40
918	456	40
919	456	39
920	457	39
921	457	38
922	457	38
923	458	37
924	458	37
925	459	36
926	459	36
927	459	35
928	460	35
929	460	34
930	461	34
931	461	33
932	461	33
933	462	32
934	462	32
935	462	31
936	463	31
937	463	30
938	464	30
939	464	29
940	464	29
941	465	28
942	465	28
943	466	27
944	466	27
945	466	26
946	467	26
947	467	25
948	468	25
949	468	24
950	468	24
951	469	23
952	469	23
953	470	22
954	470	22
955	470	21
956	471	21
957	471	20
958	472	20
959	472	19
960	472	19
961	473	18
962	473	18
963	474	17
964	474	17
965	474	16
966	475	16
967	475	15
968	476	15
969	476	14
970	476	14
971	477	13
972	477	13
973	478	12
974	478	12
975	478	11
976	479	11
977	479	10
978	479	10
979	480	9
980	480	9
981	481	8
982	481	8
983	482	7
984	482	7
985	482	6
986	483	6
987	483	5
988	483	5
989	484	4
990	484	4
991	485	3
992	485	3
993	485	2
994	486	2
995	486	1
996	487	1
997	487	0
998	487	0
999	488	0
