iter	Passed	Remaining
0	54	54187
1	55	27452
2	55	18475
3	56	13987
4	56	11325
5	57	9543
6	58	8257
7	58	7282
8	60	6612
9	62	6167
10	63	5680
11	64	5283
12	65	4939
13	65	4629
14	68	4522
15	70	4317
16	72	4178
17	73	4003
18	74	3828
19	74	3668
20	75	3523
21	76	3387
22	76	3263
23	77	3161
24	78	3057
25	79	2964
26	79	2873
27	80	2789
28	80	2711
29	81	2638
30	82	2572
31	82	2507
32	84	2481
33	85	2435
34	89	2476
35	90	2425
36	91	2374
37	91	2325
38	92	2281
39	93	2237
40	94	2203
41	94	2165
42	95	2133
43	96	2096
44	97	2061
45	97	2027
46	98	1994
47	99	1966
48	99	1936
49	100	1906
50	100	1878
51	101	1851
52	102	1824
53	103	1807
54	104	1787
55	119	2008
56	120	1989
57	120	1965
58	122	1946
59	123	1928
60	124	1910
61	124	1887
62	125	1864
63	126	1843
64	129	1863
65	131	1857
66	132	1845
67	133	1835
68	134	1821
69	135	1805
70	136	1788
71	137	1772
72	138	1761
73	139	1744
74	143	1769
75	145	1764
76	146	1751
77	146	1735
78	147	1722
79	148	1709
80	149	1696
81	150	1682
82	150	1666
83	152	1657
84	152	1644
85	153	1632
86	154	1619
87	154	1605
88	155	1592
89	156	1579
90	157	1568
91	158	1560
92	159	1556
93	160	1545
94	161	1534
95	161	1524
96	162	1515
97	163	1504
98	164	1494
99	164	1484
100	165	1474
101	166	1464
102	167	1455
103	167	1444
104	168	1434
105	168	1423
106	169	1413
107	169	1403
108	170	1393
109	171	1383
110	171	1374
111	172	1364
112	172	1355
113	173	1346
114	173	1337
115	174	1329
116	174	1320
117	175	1312
118	176	1306
119	177	1301
120	178	1293
121	178	1285
122	179	1278
123	179	1271
124	180	1263
125	181	1256
126	181	1247
127	182	1240
128	182	1234
129	183	1227
130	183	1219
131	184	1212
132	184	1205
133	185	1198
134	186	1192
135	186	1185
136	187	1178
137	187	1172
138	188	1165
139	188	1159
140	189	1153
141	189	1145
142	190	1138
143	190	1133
144	191	1126
145	191	1121
146	192	1115
147	192	1109
148	193	1105
149	194	1100
150	194	1094
151	195	1089
152	195	1083
153	196	1078
154	196	1073
155	197	1068
156	197	1062
157	198	1057
158	198	1052
159	199	1046
160	199	1040
161	200	1035
162	200	1030
163	201	1025
164	201	1020
165	202	1016
166	202	1011
167	203	1007
168	203	1002
169	204	998
170	205	993
171	205	989
172	206	984
173	206	980
174	207	976
175	207	971
176	208	968
177	208	964
178	209	959
179	209	955
180	210	951
181	210	947
182	211	942
183	211	938
184	212	934
185	212	931
186	213	927
187	213	923
188	214	920
189	214	916
190	215	912
191	215	908
192	216	904
193	216	901
194	217	897
195	217	893
196	218	890
197	219	887
198	219	884
199	220	880
200	220	877
201	221	873
202	221	869
203	222	866
204	222	863
205	223	859
206	223	856
207	224	853
208	224	850
209	225	847
210	225	843
211	226	840
212	226	837
213	227	834
214	227	831
215	228	828
216	228	825
217	229	823
218	230	820
219	230	817
220	231	814
221	231	812
222	232	809
223	232	806
224	233	804
225	234	802
226	234	799
227	235	796
228	235	794
229	236	791
230	236	788
231	237	785
232	237	783
233	238	780
234	238	777
235	239	775
236	240	773
237	240	770
238	241	767
239	241	765
240	242	762
241	242	760
242	243	757
243	243	755
244	244	753
245	244	750
246	245	748
247	246	746
248	246	743
249	247	741
250	247	739
251	248	737
252	248	734
253	249	732
254	249	730
255	250	727
256	251	725
257	251	723
258	252	721
259	252	719
260	253	716
261	253	714
262	254	712
263	254	710
264	255	708
265	255	706
266	256	704
267	257	701
268	257	699
269	258	697
270	258	695
271	259	693
272	259	691
273	260	689
274	260	687
275	261	684
276	261	682
277	262	681
278	262	679
279	263	677
280	263	674
281	264	672
282	264	670
283	265	668
284	265	666
285	266	664
286	266	662
287	267	660
288	267	659
289	268	657
290	268	655
291	269	653
292	270	651
293	270	649
294	270	647
295	271	645
296	271	643
297	272	641
298	274	642
299	274	640
300	275	639
301	275	637
302	276	635
303	276	633
304	277	632
305	278	630
306	278	628
307	279	627
308	279	625
309	280	623
310	281	624
311	282	623
312	283	621
313	283	620
314	284	618
315	285	617
316	286	616
317	286	615
318	287	613
319	288	612
320	288	611
321	289	609
322	290	608
323	291	607
324	291	606
325	293	605
326	293	604
327	294	603
328	295	603
329	296	602
330	297	601
331	298	600
332	299	599
333	299	598
334	300	596
335	301	594
336	301	593
337	302	591
338	302	590
